LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
17m         Normal    Scheduled                      pod/life-assistant-order-service-5d8996d9c5-d4ml2            Successfully assigned default/life-assistant-order-service-5d8996d9c5-d4ml2 to izf8z9823mhcfvpm8llt12z
24m         Normal    Scheduled                      pod/life-assistant-api-gateway-789b5d7b79-bzrbt              Successfully assigned default/life-assistant-api-gateway-789b5d7b79-bzrbt to izf8z9823mhcfvpm8llt12z
29m         Normal    ScalingReplicaSet              deployment/life-assistant-order-service                      Scaled up replica set life-assistant-order-service-79d9584cf4 from 0 to 1
29m         Normal    SuccessfulCreate               replicaset/life-assistant-order-service-79d9584cf4           Created pod: life-assistant-order-service-79d9584cf4-jlvlb
29m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-97c5d8c95         Created pod: life-assistant-merchant-service-97c5d8c95-4hcpq
29m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled up replica set life-assistant-merchant-service-97c5d8c95 from 0 to 1
29m         Normal    SuccessfulCreate               replicaset/life-assistant-user-service-c45b44cdf             Created pod: life-assistant-user-service-c45b44cdf-9j7dv
29m         Normal    ScalingReplicaSet              deployment/life-assistant-user-service                       Scaled up replica set life-assistant-user-service-c45b44cdf from 0 to 1
29m         Normal    Pulling                        pod/life-assistant-user-service-c45b44cdf-9j7dv              Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:user-service-84e49096562b5713112782a46fcb4070c6f4c50a"
29m         Normal    Pulling                        pod/life-assistant-merchant-service-97c5d8c95-4hcpq          Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-84e49096562b5713112782a46fcb4070c6f4c50a"
29m         Normal    SuccessfulCreate               replicaset/life-assistant-engagement-service-646486db9c      Created pod: life-assistant-engagement-service-646486db9c-79swk
29m         Normal    SuccessfulCreate               replicaset/life-assistant-settlement-service-6bcc59466d      Created pod: life-assistant-settlement-service-6bcc59466d-p5k68
29m         Normal    ScalingReplicaSet              deployment/life-assistant-settlement-service                 Scaled up replica set life-assistant-settlement-service-6bcc59466d from 0 to 1
29m         Normal    SuccessfulCreate               replicaset/life-assistant-fulfillment-service-85fc6b469b     Created pod: life-assistant-fulfillment-service-85fc6b469b-m4jkj
29m         Normal    ScalingReplicaSet              deployment/life-assistant-engagement-service                 Scaled up replica set life-assistant-engagement-service-646486db9c from 0 to 1
29m         Normal    Pulling                        pod/life-assistant-order-service-79d9584cf4-jlvlb            Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-84e49096562b5713112782a46fcb4070c6f4c50a"
29m         Normal    ScalingReplicaSet              deployment/life-assistant-fulfillment-service                Scaled up replica set life-assistant-fulfillment-service-85fc6b469b from 0 to 1
29m         Normal    Pulling                        pod/life-assistant-settlement-service-6bcc59466d-p5k68       Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:settlement-service-84e49096562b5713112782a46fcb4070c6f4c50a"
29m         Normal    Pulling                        pod/life-assistant-engagement-service-646486db9c-79swk       Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:engagement-service-84e49096562b5713112782a46fcb4070c6f4c50a"
29m         Normal    Pulling                        pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:fulfillment-service-84e49096562b5713112782a46fcb4070c6f4c50a"
29m         Normal    Started                        pod/life-assistant-merchant-service-97c5d8c95-4hcpq          Container started
29m         Normal    Pulled                         pod/life-assistant-merchant-service-97c5d8c95-4hcpq          Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-84e49096562b5713112782a46fcb4070c6f4c50a" in 7.85s (7.85s including waiting). Image size: 178336102 bytes.
29m         Normal    Created                        pod/life-assistant-merchant-service-97c5d8c95-4hcpq          Container created
29m         Normal    Created                        pod/life-assistant-order-service-79d9584cf4-jlvlb            Container created
29m         Normal    Started                        pod/life-assistant-order-service-79d9584cf4-jlvlb            Container started
29m         Normal    Started                        pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Container started
29m         Normal    Created                        pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Container created
29m         Normal    Pulled                         pod/life-assistant-order-service-79d9584cf4-jlvlb            Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-84e49096562b5713112782a46fcb4070c6f4c50a" in 8.591s (8.591s including waiting). Image size: 178282680 bytes.
29m         Normal    Pulled                         pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:fulfillment-service-84e49096562b5713112782a46fcb4070c6f4c50a" in 8.179s (8.179s including waiting). Image size: 178422751 bytes.
29m         Normal    Pulled                         pod/life-assistant-user-service-c45b44cdf-9j7dv              Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:user-service-84e49096562b5713112782a46fcb4070c6f4c50a" in 14.911s (14.911s including waiting). Image size: 178434813 bytes.
29m         Normal    Created                        pod/life-assistant-user-service-c45b44cdf-9j7dv              Container created
29m         Normal    Pulled                         pod/life-assistant-settlement-service-6bcc59466d-p5k68       Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:settlement-service-84e49096562b5713112782a46fcb4070c6f4c50a" in 15.433s (15.433s including waiting). Image size: 178250055 bytes.
29m         Normal    Started                        pod/life-assistant-user-service-c45b44cdf-9j7dv              Container started
29m         Normal    Created                        pod/life-assistant-settlement-service-6bcc59466d-p5k68       Container created
29m         Normal    Started                        pod/life-assistant-settlement-service-6bcc59466d-p5k68       Container started
29m         Normal    Pulled                         pod/life-assistant-engagement-service-646486db9c-79swk       Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:engagement-service-84e49096562b5713112782a46fcb4070c6f4c50a" in 15.17s (15.17s including waiting). Image size: 182080118 bytes.
29m         Normal    Created                        pod/life-assistant-engagement-service-646486db9c-79swk       Container created
29m         Normal    Started                        pod/life-assistant-engagement-service-646486db9c-79swk       Container started
28m         Warning   Unhealthy                      pod/life-assistant-merchant-service-97c5d8c95-4hcpq          Liveness probe failed: Get "http://10.42.0.175:8081/api/health": dial tcp 10.42.0.175:8081: connect: connection refused
28m         Warning   Unhealthy                      pod/life-assistant-order-service-79d9584cf4-jlvlb            Liveness probe failed: Get "http://10.42.0.177:8083/api/health": dial tcp 10.42.0.177:8083: connect: connection refused
28m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Liveness probe failed: Get "http://10.42.0.179:8085/api/health": dial tcp 10.42.0.179:8085: connect: connection refused
28m         Warning   Unhealthy                      pod/life-assistant-merchant-service-97c5d8c95-4hcpq          Readiness probe failed: Get "http://10.42.0.175:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
28m         Normal    SuccessfulDelete               replicaset/life-assistant-merchant-service-7bdbcdb897        Deleted pod: life-assistant-merchant-service-7bdbcdb897-psfpf
28m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled down replica set life-assistant-merchant-service-7bdbcdb897 from 1 to 0
28m         Normal    Killing                        pod/life-assistant-merchant-service-7bdbcdb897-psfpf         Stopping container merchant-service
28m         Warning   Unhealthy                      pod/life-assistant-settlement-service-6bcc59466d-p5k68       Readiness probe failed: Get "http://10.42.0.178:8084/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
28m         Warning   Unhealthy                      pod/life-assistant-settlement-service-6bcc59466d-p5k68       Liveness probe failed: Get "http://10.42.0.178:8084/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
28m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Liveness probe failed: Get "http://10.42.0.179:8085/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
28m         Warning   Unhealthy                      pod/life-assistant-order-service-79d9584cf4-jlvlb            Liveness probe failed: Get "http://10.42.0.177:8083/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
28m         Warning   Unhealthy                      pod/life-assistant-user-service-c45b44cdf-9j7dv              Liveness probe failed: Get "http://10.42.0.176:8082/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
28m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Readiness probe failed: Get "http://10.42.0.179:8085/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
28m         Warning   Unhealthy                      pod/life-assistant-user-service-c45b44cdf-9j7dv              Readiness probe failed: Get "http://10.42.0.176:8082/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
28m         Warning   Unhealthy                      pod/life-assistant-order-service-79d9584cf4-jlvlb            Readiness probe failed: Get "http://10.42.0.177:8083/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
28m         Normal    SuccessfulDelete               replicaset/life-assistant-order-service-579c4f59c            Deleted pod: life-assistant-order-service-579c4f59c-r7ncp
28m         Normal    Killing                        pod/life-assistant-order-service-579c4f59c-r7ncp             Stopping container order-service
28m         Normal    ScalingReplicaSet              deployment/life-assistant-order-service                      Scaled down replica set life-assistant-order-service-579c4f59c from 1 to 0
28m         Normal    ScalingReplicaSet              deployment/life-assistant-settlement-service                 Scaled down replica set life-assistant-settlement-service-d5f5b78bf from 1 to 0
28m         Normal    Killing                        pod/life-assistant-settlement-service-d5f5b78bf-ldvt6        Stopping container settlement-service
28m         Normal    SuccessfulDelete               replicaset/life-assistant-settlement-service-d5f5b78bf       Deleted pod: life-assistant-settlement-service-d5f5b78bf-ldvt6
28m         Normal    Killing                        pod/life-assistant-user-service-5477798fb8-tfzhp             Stopping container user-service
28m         Normal    SuccessfulDelete               replicaset/life-assistant-user-service-5477798fb8            Deleted pod: life-assistant-user-service-5477798fb8-tfzhp
28m         Normal    ScalingReplicaSet              deployment/life-assistant-user-service                       Scaled down replica set life-assistant-user-service-5477798fb8 from 1 to 0
28m         Normal    SuccessfulDelete               replicaset/life-assistant-fulfillment-service-668f695c79     Deleted pod: life-assistant-fulfillment-service-668f695c79-qclrq
28m         Normal    Killing                        pod/life-assistant-fulfillment-service-668f695c79-qclrq      Stopping container fulfillment-service
28m         Normal    ScalingReplicaSet              deployment/life-assistant-fulfillment-service                Scaled down replica set life-assistant-fulfillment-service-668f695c79 from 1 to 0
28m         Warning   Unhealthy                      pod/life-assistant-engagement-service-646486db9c-79swk       Liveness probe failed: Get "http://10.42.0.180:8086/api/health": dial tcp 10.42.0.180:8086: connect: connection refused
28m         Warning   Unhealthy                      pod/life-assistant-engagement-service-646486db9c-79swk       Readiness probe failed: Get "http://10.42.0.180:8086/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
28m         Warning   Unhealthy                      pod/life-assistant-merchant-service-7bdbcdb897-psfpf         Readiness probe failed: Get "http://10.42.0.166:8081/api/health": dial tcp 10.42.0.166:8081: connect: connection refused
27m         Normal    ScalingReplicaSet              deployment/life-assistant-engagement-service                 Scaled down replica set life-assistant-engagement-service-5776bf4bdb from 1 to 0
27m         Normal    Killing                        pod/life-assistant-engagement-service-5776bf4bdb-x2w6j       Stopping container engagement-service
27m         Normal    SuccessfulCreate               replicaset/life-assistant-api-gateway-789b5d7b79             Created pod: life-assistant-api-gateway-789b5d7b79-596lw
27m         Normal    ScalingReplicaSet              deployment/life-assistant-api-gateway                        Scaled up replica set life-assistant-api-gateway-789b5d7b79 from 0 to 1
27m         Normal    SuccessfulDelete               replicaset/life-assistant-engagement-service-5776bf4bdb      Deleted pod: life-assistant-engagement-service-5776bf4bdb-x2w6j
27m         Normal    Pulling                        pod/life-assistant-api-gateway-789b5d7b79-596lw              Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:api-gateway-84e49096562b5713112782a46fcb4070c6f4c50a"
27m         Warning   Unhealthy                      pod/life-assistant-settlement-service-d5f5b78bf-ldvt6        Readiness probe failed: Get "http://10.42.0.169:8084/api/health": dial tcp 10.42.0.169:8084: connect: connection refused
27m         Warning   Unhealthy                      pod/life-assistant-user-service-5477798fb8-tfzhp             Readiness probe failed: Get "http://10.42.0.167:8082/api/health": dial tcp 10.42.0.167:8082: connect: connection refused
27m         Normal    Pulled                         pod/life-assistant-api-gateway-789b5d7b79-596lw              Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:api-gateway-84e49096562b5713112782a46fcb4070c6f4c50a" in 5.908s (5.908s including waiting). Image size: 155902609 bytes.
27m         Normal    Started                        pod/life-assistant-api-gateway-789b5d7b79-596lw              Container started
27m         Normal    Created                        pod/life-assistant-api-gateway-789b5d7b79-596lw              Container created
27m         Warning   Unhealthy                      pod/life-assistant-order-service-579c4f59c-r7ncp             Readiness probe failed: Get "http://10.42.0.168:8083/api/health": dial tcp 10.42.0.168:8083: connect: connection refused
27m         Normal    Started                        pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Container started
27m         Normal    SuccessfulCreate               replicaset/life-assistant-settlement-service-6bcc59466d      Created pod: life-assistant-settlement-service-6bcc59466d-zc9wf
27m         Normal    Pulled                         pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:settlement-service-84e49096562b5713112782a46fcb4070c6f4c50a" already present on machine and can be accessed by the pod
27m         Normal    ScalingReplicaSet              deployment/life-assistant-settlement-service                 Scaled up replica set life-assistant-settlement-service-6bcc59466d from 1 to 2
27m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-settlement-service    New size: 2; reason: cpu resource utilization (percentage of request) above target
27m         Normal    Created                        pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Container created
27m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-668f695c79-qclrq      Readiness probe failed: Get "http://10.42.0.170:8085/api/health": dial tcp 10.42.0.170:8085: connect: connection refused
27m         Warning   Unhealthy                      pod/life-assistant-engagement-service-5776bf4bdb-x2w6j       Readiness probe failed: Get "http://10.42.0.171:8086/api/health": dial tcp 10.42.0.171:8086: connect: connection refused
27m         Normal    SuccessfulDelete               replicaset/life-assistant-api-gateway-6bfbbccb5b             Deleted pod: life-assistant-api-gateway-6bfbbccb5b-lg987
27m         Normal    ScalingReplicaSet              deployment/life-assistant-api-gateway                        Scaled down replica set life-assistant-api-gateway-6bfbbccb5b from 1 to 0
27m         Normal    Killing                        pod/life-assistant-api-gateway-6bfbbccb5b-lg987              Stopping container api-gateway
27m         Normal    Pulling                        pod/life-assistant-frontend-bbbc79df6-wlwfq                  Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:frontend-84e49096562b5713112782a46fcb4070c6f4c50a"
27m         Normal    ScalingReplicaSet              deployment/life-assistant-frontend                           Scaled up replica set life-assistant-frontend-bbbc79df6 from 0 to 1
27m         Normal    SuccessfulCreate               replicaset/life-assistant-frontend-bbbc79df6                 Created pod: life-assistant-frontend-bbbc79df6-wlwfq
27m         Normal    Started                        pod/life-assistant-frontend-bbbc79df6-wlwfq                  Container started
27m         Normal    Created                        pod/life-assistant-frontend-bbbc79df6-wlwfq                  Container created
27m         Normal    Pulled                         pod/life-assistant-frontend-bbbc79df6-wlwfq                  Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:frontend-84e49096562b5713112782a46fcb4070c6f4c50a" in 998ms (998ms including waiting). Image size: 21076042 bytes.
26m         Warning   Unhealthy                      pod/life-assistant-api-gateway-6bfbbccb5b-lg987              Readiness probe failed: HTTP probe failed with statuscode: 503
26m         Normal    SuccessfulDelete               replicaset/life-assistant-frontend-7c9f47d8d7                Deleted pod: life-assistant-frontend-7c9f47d8d7-d8ggb
26m         Normal    Killing                        pod/life-assistant-frontend-7c9f47d8d7-d8ggb                 Stopping container frontend
26m         Normal    ScalingReplicaSet              deployment/life-assistant-frontend                           Scaled down replica set life-assistant-frontend-7c9f47d8d7 from 1 to 0
26m         Warning   Unhealthy                      pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Liveness probe failed: Get "http://10.42.0.182:8084/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
26m         Warning   Unhealthy                      pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Readiness probe failed: Get "http://10.42.0.182:8084/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
24m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled up replica set life-assistant-merchant-service-97c5d8c95 from 1 to 2
24m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-97c5d8c95         Created pod: life-assistant-merchant-service-97c5d8c95-96q8q
24m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-merchant-service      New size: 2; reason: cpu resource utilization (percentage of request) above target
24m         Normal    Started                        pod/life-assistant-merchant-service-97c5d8c95-96q8q          Container started
24m         Normal    Created                        pod/life-assistant-merchant-service-97c5d8c95-96q8q          Container created
24m         Normal    Pulled                         pod/life-assistant-merchant-service-97c5d8c95-96q8q          Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-84e49096562b5713112782a46fcb4070c6f4c50a" already present on machine and can be accessed by the pod
24m         Normal    SuccessfulCreate               replicaset/life-assistant-api-gateway-789b5d7b79             Created pod: life-assistant-api-gateway-789b5d7b79-bzrbt
24m         Normal    ScalingReplicaSet              deployment/life-assistant-api-gateway                        Scaled up replica set life-assistant-api-gateway-789b5d7b79 from 1 to 2
24m         Normal    Started                        pod/life-assistant-api-gateway-789b5d7b79-bzrbt              Container started
24m         Normal    Pulled                         pod/life-assistant-api-gateway-789b5d7b79-bzrbt              Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:api-gateway-84e49096562b5713112782a46fcb4070c6f4c50a" already present on machine and can be accessed by the pod
24m         Normal    Created                        pod/life-assistant-api-gateway-789b5d7b79-bzrbt              Container created
23m         Warning   Unhealthy                      pod/life-assistant-merchant-service-97c5d8c95-96q8q          Readiness probe failed: Get "http://10.42.0.184:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
22m         Normal    Killing                        pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Stopping container settlement-service
22m         Normal    ScalingReplicaSet              deployment/life-assistant-settlement-service                 Scaled down replica set life-assistant-settlement-service-6bcc59466d from 2 to 1
22m         Normal    SuccessfulDelete               replicaset/life-assistant-settlement-service-6bcc59466d      Deleted pod: life-assistant-settlement-service-6bcc59466d-zc9wf
22m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-settlement-service    New size: 1; reason: All metrics below target
22m         Warning   Unhealthy                      pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Readiness probe failed: Get "http://10.42.0.182:8084/api/health": dial tcp 10.42.0.182:8084: connect: connection refused
21m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-f754674fd         Created pod: life-assistant-merchant-service-f754674fd-tspxq
21m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled up replica set life-assistant-merchant-service-f754674fd from 0 to 1
21m         Normal    Started                        pod/life-assistant-merchant-service-f754674fd-tspxq          Container started
21m         Normal    Created                        pod/life-assistant-merchant-service-f754674fd-tspxq          Container created
21m         Normal    Pulled                         pod/life-assistant-merchant-service-f754674fd-tspxq          Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-84e49096562b5713112782a46fcb4070c6f4c50a" already present on machine and can be accessed by the pod
20m         Warning   Unhealthy                      pod/life-assistant-merchant-service-f754674fd-tspxq          Readiness probe failed: Get "http://10.42.0.186:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
20m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled down replica set life-assistant-merchant-service-97c5d8c95 from 2 to 1
20m         Normal    SuccessfulDelete               replicaset/life-assistant-merchant-service-97c5d8c95         Deleted pod: life-assistant-merchant-service-97c5d8c95-96q8q
20m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-f754674fd         Created pod: life-assistant-merchant-service-f754674fd-wkchl
20m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled up replica set life-assistant-merchant-service-f754674fd from 1 to 2
20m         Normal    Killing                        pod/life-assistant-merchant-service-97c5d8c95-96q8q          Stopping container merchant-service
20m         Normal    Started                        pod/life-assistant-merchant-service-f754674fd-wkchl          Container started
20m         Normal    Pulled                         pod/life-assistant-merchant-service-f754674fd-wkchl          Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-84e49096562b5713112782a46fcb4070c6f4c50a" already present on machine and can be accessed by the pod
20m         Normal    Created                        pod/life-assistant-merchant-service-f754674fd-wkchl          Container created
19m         Warning   Unhealthy                      pod/life-assistant-merchant-service-97c5d8c95-96q8q          Readiness probe failed: Get "http://10.42.0.184:8081/api/health": dial tcp 10.42.0.184:8081: connect: connection refused
19m         Warning   Unhealthy                      pod/life-assistant-merchant-service-f754674fd-wkchl          Readiness probe failed: Get "http://10.42.0.187:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
19m         Normal    SuccessfulDelete               replicaset/life-assistant-merchant-service-97c5d8c95         Deleted pod: life-assistant-merchant-service-97c5d8c95-4hcpq
