timestamp,pod,cpu,memory
2026-09-01T11:27:04+08:00,life-assistant-api-gateway-74477cb8bf-bj8c6,6m,213Mi
2026-09-01T11:27:04+08:00,life-assistant-engagement-service-7c88c4dd55-9dtrp,10m,275Mi
2026-09-01T11:27:04+08:00,life-assistant-frontend-57c66c6878-rc6tl,1m,7Mi
2026-09-01T11:27:04+08:00,life-assistant-fulfillment-service-c7d796f6b-nhfjw,8m,268Mi
2026-09-01T11:27:04+08:00,life-assistant-merchant-service-7f9c8f666d-cffdm,42m,275Mi
2026-09-01T11:27:04+08:00,life-assistant-merchant-service-7f9c8f666d-pqg2v,8m,263Mi
2026-09-01T11:27:04+08:00,life-assistant-merchant-service-7f9c8f666d-q6zgj,7m,260Mi
2026-09-01T11:27:04+08:00,life-assistant-mysql-596766557b-hl5pf,15m,613Mi
2026-09-01T11:27:04+08:00,life-assistant-nacos-5995f55965-l7wq6,5m,560Mi
2026-09-01T11:27:04+08:00,life-assistant-order-service-55cc89b84d-74hvv,10m,261Mi
2026-09-01T11:27:04+08:00,life-assistant-redis-c4fcbf6c-r8mhj,9m,14Mi
2026-09-01T11:27:04+08:00,life-assistant-settlement-service-649b44d76b-hjmml,7m,264Mi
2026-09-01T11:27:04+08:00,life-assistant-user-service-774d699455-2c5dd,12m,277Mi
2026-09-01T11:27:23+08:00,life-assistant-api-gateway-74477cb8bf-bj8c6,73m,222Mi
2026-09-01T11:27:23+08:00,life-assistant-engagement-service-7c88c4dd55-9dtrp,7m,275Mi
2026-09-01T11:27:23+08:00,life-assistant-frontend-57c66c6878-rc6tl,1m,7Mi
2026-09-01T11:27:23+08:00,life-assistant-fulfillment-service-c7d796f6b-nhfjw,7m,269Mi
2026-09-01T11:27:23+08:00,life-assistant-merchant-service-7f9c8f666d-pqg2v,9m,264Mi
2026-09-01T11:27:23+08:00,life-assistant-merchant-service-7f9c8f666d-q6zgj,7m,260Mi
2026-09-01T11:27:23+08:00,life-assistant-mysql-596766557b-hl5pf,16m,613Mi
2026-09-01T11:27:23+08:00,life-assistant-nacos-5995f55965-l7wq6,5m,560Mi
2026-09-01T11:27:23+08:00,life-assistant-order-service-55cc89b84d-74hvv,6m,261Mi
2026-09-01T11:27:23+08:00,life-assistant-redis-c4fcbf6c-r8mhj,9m,14Mi
2026-09-01T11:27:23+08:00,life-assistant-settlement-service-649b44d76b-hjmml,8m,265Mi
2026-09-01T11:27:23+08:00,life-assistant-user-service-774d699455-2c5dd,14m,278Mi
2026-09-01T11:27:43+08:00,life-assistant-api-gateway-74477cb8bf-bj8c6,116m,226Mi
2026-09-01T11:27:43+08:00,life-assistant-api-gateway-74477cb8bf-gs7s8,490m,88Mi
2026-09-01T11:27:43+08:00,life-assistant-engagement-service-7c88c4dd55-9dtrp,18m,275Mi
2026-09-01T11:27:43+08:00,life-assistant-frontend-57c66c6878-rc6tl,1m,7Mi
2026-09-01T11:27:43+08:00,life-assistant-fulfillment-service-c7d796f6b-nhfjw,12m,269Mi
2026-09-01T11:27:43+08:00,life-assistant-merchant-service-7f9c8f666d-2gjv7,464m,55Mi
2026-09-01T11:27:43+08:00,life-assistant-merchant-service-7f9c8f666d-nb6f4,460m,54Mi
2026-09-01T11:27:43+08:00,life-assistant-merchant-service-7f9c8f666d-pqg2v,486m,297Mi
2026-09-01T11:27:43+08:00,life-assistant-merchant-service-7f9c8f666d-q6zgj,478m,290Mi
2026-09-01T11:27:43+08:00,life-assistant-merchant-service-7f9c8f666d-x9mh4,470m,60Mi
2026-09-01T11:27:43+08:00,life-assistant-mysql-596766557b-hl5pf,148m,616Mi
2026-09-01T11:27:43+08:00,life-assistant-nacos-5995f55965-l7wq6,6m,560Mi
2026-09-01T11:27:43+08:00,life-assistant-order-service-55cc89b84d-74hvv,14m,262Mi
2026-09-01T11:27:43+08:00,life-assistant-redis-c4fcbf6c-r8mhj,11m,14Mi
2026-09-01T11:27:43+08:00,life-assistant-settlement-service-649b44d76b-hjmml,16m,265Mi
2026-09-01T11:27:43+08:00,life-assistant-user-service-774d699455-2c5dd,13m,278Mi
2026-09-01T11:28:06+08:00,life-assistant-api-gateway-74477cb8bf-bj8c6,93m,228Mi
2026-09-01T11:28:06+08:00,life-assistant-api-gateway-74477cb8bf-gs7s8,479m,129Mi
2026-09-01T11:28:06+08:00,life-assistant-engagement-service-7c88c4dd55-9dtrp,8m,275Mi
2026-09-01T11:28:06+08:00,life-assistant-frontend-57c66c6878-rc6tl,1m,7Mi
2026-09-01T11:28:06+08:00,life-assistant-fulfillment-service-c7d796f6b-nhfjw,8m,269Mi
2026-09-01T11:28:06+08:00,life-assistant-merchant-service-7f9c8f666d-2gjv7,462m,59Mi
2026-09-01T11:28:06+08:00,life-assistant-merchant-service-7f9c8f666d-nb6f4,445m,77Mi
2026-09-01T11:28:06+08:00,life-assistant-merchant-service-7f9c8f666d-pqg2v,456m,302Mi
2026-09-01T11:28:06+08:00,life-assistant-merchant-service-7f9c8f666d-q6zgj,465m,302Mi
2026-09-01T11:28:06+08:00,life-assistant-merchant-service-7f9c8f666d-x9mh4,472m,63Mi
