LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
41m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-merchant-service      New size: 2; reason: cpu resource utilization (percentage of request) above target
41m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled up replica set life-assistant-merchant-service-5bd7fc6fc8 from 1 to 2
41m         Normal    ScalingReplicaSet              deployment/life-assistant-fulfillment-service                Scaled up replica set life-assistant-fulfillment-service-6899c79c8 from 1 to 2
41m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-order-service         New size: 3; reason: cpu resource utilization (percentage of request) above target
41m         Normal    ScalingReplicaSet              deployment/life-assistant-order-service                      Scaled up replica set life-assistant-order-service-6b84595445 from 1 to 3
41m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-fulfillment-service   New size: 2; reason: cpu resource utilization (percentage of request) above target
41m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-user-service          New size: 2; reason: cpu resource utilization (percentage of request) above target
41m         Normal    Pulled                         pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
41m         Normal    SuccessfulCreate               replicaset/life-assistant-order-service-6b84595445           Created pod: life-assistant-order-service-6b84595445-wcqs9
41m         Normal    SuccessfulCreate               replicaset/life-assistant-order-service-6b84595445           Created pod: life-assistant-order-service-6b84595445-g7vqt
41m         Normal    Pulled                         pod/life-assistant-user-service-798dd7779f-s5b6l             Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:user-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
41m         Normal    SuccessfulCreate               replicaset/life-assistant-fulfillment-service-6899c79c8      Created pod: life-assistant-fulfillment-service-6899c79c8-9sq8d
41m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Created pod: life-assistant-merchant-service-5bd7fc6fc8-zx484
41m         Normal    Created                        pod/life-assistant-user-service-798dd7779f-s5b6l             Container created
41m         Normal    Pulled                         pod/life-assistant-order-service-6b84595445-wcqs9            Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
41m         Normal    SuccessfulCreate               replicaset/life-assistant-user-service-798dd7779f            Created pod: life-assistant-user-service-798dd7779f-s5b6l
41m         Normal    Pulled                         pod/life-assistant-order-service-6b84595445-g7vqt            Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
41m         Normal    Created                        pod/life-assistant-order-service-6b84595445-g7vqt            Container created
41m         Normal    Started                        pod/life-assistant-user-service-798dd7779f-s5b6l             Container started
41m         Normal    Started                        pod/life-assistant-order-service-6b84595445-wcqs9            Container started
41m         Normal    Created                        pod/life-assistant-order-service-6b84595445-wcqs9            Container created
41m         Normal    Pulled                         pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:fulfillment-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
