LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
33m         Normal    Pulled                         pod/life-assistant-order-service-6b84595445-wcqs9            Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
33m         Normal    Created                        pod/life-assistant-order-service-6b84595445-g7vqt            Container created
33m         Normal    SuccessfulCreate               replicaset/life-assistant-user-service-798dd7779f            Created pod: life-assistant-user-service-798dd7779f-s5b6l
33m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Created pod: life-assistant-merchant-service-5bd7fc6fc8-zx484
33m         Normal    SuccessfulCreate               replicaset/life-assistant-order-service-6b84595445           Created pod: life-assistant-order-service-6b84595445-g7vqt
33m         Normal    Pulled                         pod/life-assistant-order-service-6b84595445-g7vqt            Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
33m         Normal    Pulled                         pod/life-assistant-user-service-798dd7779f-s5b6l             Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:user-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
33m         Normal    Started                        pod/life-assistant-user-service-798dd7779f-s5b6l             Container started
33m         Normal    Started                        pod/life-assistant-order-service-6b84595445-wcqs9            Container started
33m         Normal    Created                        pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Container created
33m         Normal    Started                        pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Container started
33m         Normal    Created                        pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Container created
33m         Normal    Started                        pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Container started
33m         Normal    Created                        pod/life-assistant-order-service-6b84595445-wcqs9            Container created
33m         Normal    Started                        pod/life-assistant-order-service-6b84595445-g7vqt            Container started
33m         Normal    Pulled                         pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:fulfillment-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
32m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Created pod: life-assistant-merchant-service-5bd7fc6fc8-59cjl
32m         Normal    SuccessfulCreate               replicaset/life-assistant-engagement-service-7f4d97d587      Created pod: life-assistant-engagement-service-7f4d97d587-dvkn7
32m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-engagement-service    New size: 2; reason: cpu resource utilization (percentage of request) above target
32m         Normal    ScalingReplicaSet              deployment/life-assistant-engagement-service                 Scaled up replica set life-assistant-engagement-service-7f4d97d587 from 1 to 2
32m         Normal    Created                        pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Container created
32m         Normal    Started                        pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Container started
32m         Normal    Started                        pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Container started
32m         Normal    Created                        pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Container created
32m         Normal    Pulled                         pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
32m         Normal    Pulled                         pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:engagement-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
31m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-g7vqt            Liveness probe failed: Get "http://10.42.0.189:8083/api/health": dial tcp 10.42.0.189:8083: connect: connection refused
31m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-wcqs9            Liveness probe failed: Get "http://10.42.0.192:8083/api/health": dial tcp 10.42.0.192:8083: connect: connection refused
31m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Liveness probe failed: Get "http://10.42.0.191:8085/api/health": dial tcp 10.42.0.191:8085: connect: connection refused
31m         Warning   Unhealthy                      pod/life-assistant-user-service-798dd7779f-s5b6l             Liveness probe failed: Get "http://10.42.0.188:8082/api/health": dial tcp 10.42.0.188:8082: connect: connection refused
31m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Liveness probe failed: Get "http://10.42.0.190:8081/api/health": dial tcp 10.42.0.190:8081: connect: connection refused
31m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Readiness probe failed: Get "http://10.42.0.191:8085/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
31m         Warning   Unhealthy                      pod/life-assistant-user-service-798dd7779f-s5b6l             Readiness probe failed: Get "http://10.42.0.188:8082/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
31m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-wcqs9            Liveness probe failed: Get "http://10.42.0.192:8083/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
31m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Liveness probe failed: Get "http://10.42.0.190:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
31m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Readiness probe failed: Get "http://10.42.0.190:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
31m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-g7vqt            Liveness probe failed: Get "http://10.42.0.189:8083/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
31m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-g7vqt            Readiness probe failed: Get "http://10.42.0.189:8083/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
31m         Warning   Unhealthy                      pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Liveness probe failed: Get "http://10.42.0.193:8086/api/health": dial tcp 10.42.0.193:8086: connect: connection refused
31m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Liveness probe failed: Get "http://10.42.0.194:8081/api/health": dial tcp 10.42.0.194:8081: connect: connection refused
31m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Readiness probe failed: Get "http://10.42.0.194:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
31m         Warning   Unhealthy                      pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Liveness probe failed: Get "http://10.42.0.193:8086/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
27m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-order-service         New size: 2; reason: All metrics below target
27m         Normal    SuccessfulDelete               replicaset/life-assistant-order-service-6b84595445           Deleted pod: life-assistant-order-service-6b84595445-wcqs9
27m         Normal    Killing                        pod/life-assistant-order-service-6b84595445-wcqs9            Stopping container order-service
27m         Normal    ScalingReplicaSet              deployment/life-assistant-order-service                      Scaled down replica set life-assistant-order-service-6b84595445 from 3 to 2
27m         Normal    ScalingReplicaSet              deployment/life-assistant-engagement-service                 Scaled down replica set life-assistant-engagement-service-7f4d97d587 from 2 to 1
