timestamp,pod,cpu,memory
2026-09-01T10:30:52+08:00,life-assistant-api-gateway-68b5c996df-hwdds,7m,203Mi
2026-09-01T10:30:52+08:00,life-assistant-api-gateway-68b5c996df-nljj5,4m,222Mi
2026-09-01T10:30:52+08:00,life-assistant-engagement-service-95c6b48f5-rqzdj,5m,282Mi
2026-09-01T10:30:52+08:00,life-assistant-frontend-fc48fc794-wmck7,1m,4Mi
2026-09-01T10:30:52+08:00,life-assistant-fulfillment-service-7d8b56595d-z9slz,4m,282Mi
2026-09-01T10:30:52+08:00,life-assistant-merchant-service-55f5f7c468-4t6l5,5m,286Mi
2026-09-01T10:30:52+08:00,life-assistant-merchant-service-55f5f7c468-tmqj4,9m,262Mi
2026-09-01T10:30:52+08:00,life-assistant-mysql-596766557b-hl5pf,16m,611Mi
2026-09-01T10:30:52+08:00,life-assistant-nacos-5995f55965-l7wq6,5m,559Mi
2026-09-01T10:30:52+08:00,life-assistant-order-service-5696b855c6-lq468,6m,273Mi
2026-09-01T10:30:52+08:00,life-assistant-redis-c4fcbf6c-r8mhj,10m,14Mi
2026-09-01T10:30:52+08:00,life-assistant-settlement-service-6485f7b9bb-wwdxd,4m,264Mi
2026-09-01T10:30:52+08:00,life-assistant-user-service-d9d686b55-p49lg,3m,281Mi
2026-09-01T10:31:11+08:00,life-assistant-api-gateway-68b5c996df-hwdds,5m,203Mi
2026-09-01T10:31:11+08:00,life-assistant-api-gateway-68b5c996df-nljj5,8m,222Mi
2026-09-01T10:31:11+08:00,life-assistant-engagement-service-95c6b48f5-rqzdj,6m,283Mi
2026-09-01T10:31:11+08:00,life-assistant-frontend-fc48fc794-wmck7,1m,4Mi
2026-09-01T10:31:11+08:00,life-assistant-fulfillment-service-7d8b56595d-z9slz,6m,282Mi
2026-09-01T10:31:11+08:00,life-assistant-merchant-service-55f5f7c468-4t6l5,5m,286Mi
2026-09-01T10:31:11+08:00,life-assistant-merchant-service-55f5f7c468-tmqj4,8m,262Mi
2026-09-01T10:31:11+08:00,life-assistant-mysql-596766557b-hl5pf,16m,611Mi
2026-09-01T10:31:11+08:00,life-assistant-nacos-5995f55965-l7wq6,5m,559Mi
2026-09-01T10:31:11+08:00,life-assistant-order-service-5696b855c6-lq468,5m,274Mi
2026-09-01T10:31:11+08:00,life-assistant-redis-c4fcbf6c-r8mhj,10m,14Mi
2026-09-01T10:31:11+08:00,life-assistant-settlement-service-6485f7b9bb-wwdxd,7m,264Mi
2026-09-01T10:31:11+08:00,life-assistant-user-service-d9d686b55-p49lg,4m,281Mi
2026-09-01T10:31:29+08:00,life-assistant-api-gateway-68b5c996df-hwdds,6m,204Mi
2026-09-01T10:31:29+08:00,life-assistant-api-gateway-68b5c996df-nljj5,6m,222Mi
2026-09-01T10:31:29+08:00,life-assistant-engagement-service-95c6b48f5-rqzdj,5m,283Mi
2026-09-01T10:31:29+08:00,life-assistant-frontend-fc48fc794-wmck7,1m,4Mi
2026-09-01T10:31:29+08:00,life-assistant-fulfillment-service-7d8b56595d-z9slz,6m,282Mi
2026-09-01T10:31:29+08:00,life-assistant-merchant-service-55f5f7c468-4t6l5,5m,286Mi
2026-09-01T10:31:29+08:00,life-assistant-merchant-service-55f5f7c468-tmqj4,10m,262Mi
2026-09-01T10:31:29+08:00,life-assistant-mysql-596766557b-hl5pf,16m,611Mi
2026-09-01T10:31:29+08:00,life-assistant-nacos-5995f55965-l7wq6,5m,559Mi
